college_code,college_name_canonical,canonical_from_year,n_variants,other_variants,years_present
ABRK,ABR COLLEGE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
ACEE,ADARSH COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
ACEM,ADITYA COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
ACES,ADITYA COLLEGE OF ENGINEERING,2023,1,,"2022,2023"
ACET,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,2024,1,,"2022,2023,2024"
ACEV,ALWAR COLLEGE OF ENGINEERING,2025,1,,2025
ACPS,ADITYA COLLEGE OF PHARMACY,2024,1,,"2022,2023,2024"
ADCP,ADARSHA COLL OF PHARMACY,2025,1,,"2022,2023,2025"
ADIT,ADITYA INSTITUTE OF TECHNOLOGY AND MGMT,2025,1,,"2022,2023,2024,2025"
ADTP,ADITYA ENGINEERING COLLEGE,2023,1,,"2022,2023"
ADTPPU,ADITYA UNIVERSITY,2025,1,,"2024,2025"
AECN,ANDHRA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
AIPS,APOLLO UNIVERSITY (APOLLO INSTITUTE OF PHARAMACEUTICAL SCIEN,2025,1,,2025
AITK,ANNAMACHARYA INST OF TECH AND SCI,2025,1,,"2022,2023,2024,2025"
AITS,ANNAMACHARYA INST OF TECHNOLOGY AND SCIENCES,2023,1,,"2022,2023"
AITSPU,ANNAMACHARYA UNIVERSITY,2025,1,,"2024,2025"
AITT,ANNAMACHARYA INST OF TECHNOLOGYAND SCIENCES,2025,1,,"2022,2023,2024,2025"
ALIT,ANDHRA LOYOLA INSTT OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
ALTS,ANANTHA LAKSHMI INST OF TECHNOLOGY AND SCI,2025,1,,"2022,2023,2024,2025"
AMRN,A.M.REDDY MEMORIAL COLL. OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
ANCP,ANNAMACHARYA COLLEGE OF PHARMACY,2025,1,,"2022,2025"
ANCUSF,DR.YSR COLLEGE OF ENGINEERING & TECHNOLOGY-SELF FINANCE,2025,2,ANU COLLEGE OF ENGG TECHNOLOGY-SELF FINANCE,"2022,2023,2024,2025"
ANIL,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCI,2025,1,,"2022,2023,2024,2025"
ANMB,ACHARYA COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
ANNP,ST.ANNS COLLEGE OF PHARAMACY,2025,1,,"2022,2025"
ANRG,AKKINENI NAGESWARA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY,2025,1,,2025
ANSN,ST. ANNS COLLEGE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
ANUPSF,ANU COLL OF PHARMACEUTICAL SCIENCES-SELF FINANCE,2025,1,,"2022,2023,2025"
ANURSF,ADI KAVI NANNAYA UNIVERSITY COLLEGE OF ENGG.-SELF FINANCE,2025,1,,"2022,2023,2024,2025"
APCS,ADITYA PHARMACY COLLEGE,2024,1,,"2022,2024"
APUCPU,APOLLO UNIVERSITY,2025,1,,"2022,2023,2024,2025"
ARMN,A M REDDY MEMORIAL COLL. OF PHARMACY,2023,1,,"2022,2023"
ARTB,AVANTHIS RESEARCH AND TECHNOLOGICAL ACADEMY,2025,1,,"2022,2023,2024,2025"
ASET,AUDISANKARA COLLEGE OF ENGG AND TECHNOLOGY,2025,1,,2025
ASIP,AMRITA SAI INST. OF SCIENCE AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
ASIT,AUDI SANKARA INST OF TECHNOLOGY,2022,1,,2022
ASKW,ASHOKA WOMEN'S ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
ASKWOC,ASHOKA WOMEN'S ENGINEERING COLLEGE-OFF CAMPUS,2025,1,,"2024,2025"
ASNT,A S N PHARMACY COLLEGE,2023,1,,2023
ASTC,AVANTHIS ST THERESSA INSTITUTE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
ASVR,SVR ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
AUCE,A U COLLEGE OF ENGG. VISAKHAPATNAM,2025,1,,"2022,2023,2024,2025"
AUCESF,A U COLLEGE OF ENGG-SELF FINANCE VISAKHAPATNAM,2025,1,,"2022,2023,2024,2025"
AUCP,AU COLLEGE OF ENGG. SCHOOL OF PHARMACY,2025,1,,"2022,2023,2024,2025"
AUCPSF,AU COLLEGE OF ENGG.SCHOOL OF PHARMACY-SELF FINANCE,2025,1,,"2023,2024,2025"
AUEWSF,A U COLLEGE OF ENGG FOR WOMEN- SELF FINANCE,2025,2,A U COLLEGE OF ENGG FOR WOMEN-SELF FINANCE,"2022,2023,2024,2025"
AVEN,AVANTHI INSTITUTE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
AVEV,AVANTHI INST. OF ENGINEERING AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
AVNP,AVANTHI INST. OF PHARM. SCI.,2022,1,,2022
BABA,BABA INST OF TECH AND SCIENCES,2025,1,,"2022,2023,2024,2025"
BALA,BALAJI COLLEGE OF PHARMACY,2024,1,,"2022,2023,2024"
BCET,BEHARA COLLEGE OF ENGINEERING AND TECHNOLOGY,2025,1,,"2024,2025"
BCOP,BAPATLA COLLEGE OF PHARMACY,2024,1,,"2023,2024"
BECB,BAPATLA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
BEMA,BHEEMA INST OF TECHNOLOGY AND SCI,2025,1,,"2022,2023,2024,2025"
BESTPU,BHARATIYA ENGG SCI. &TECH INNOVATION UNIVERSITY,2025,2,"BHARATIYA ENGG, SCI. &TECH INNOVATION UNIVERSITY","2022,2023,2024,2025"
BIPB,BHASKARA INST. OF PHARMACY,2023,1,,2023
BITS,BHASKAR INSTITUTE OF TECHNOLOGY & SCIENCE,2025,1,,"2023,2024,2025"
BLMP,BELLAMKONDA INST OF TECHNOLOGY AND SCI,2024,1,,2024
BRAUSF,COLLEGE OF ENGINEERING BR AMBEDKAR UNIV SELF FINANCE,2025,1,,"2022,2023,2024,2025"
BRNK,BRINDAVAN INST OF TECHNOLOGY AND SCI,2025,1,,"2022,2023,2024,2025"
BVCE,B V CHALAMAIAH ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
BVCR,BVC COLLEGE OF ENGINEERING,2025,2,BVC ENGINEERING COLLEGE,"2022,2023,2024,2025"
BVRM,BHIMAVARAM INST. OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
BVSR,BVSR ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
BVTS,BONAM VENKATA CHALAMAIAH INST. OF TECH AND SCI.,2025,1,,"2022,2023,2024,2025"
BWEC,BAPATLA WOMENS ENGG COLLEGE,2025,1,,"2022,2023,2024,2025"
CABP,Dr. N T R COLLEGE OF AGRICULTURAL ENGINEERING,2025,2,COLLEGE OF AGRICULTURAL ENGINEERING,"2022,2023,2024,2025"
CAMS,COLLEGE OF AGRICULTURAL ENGINEERING,2025,1,,"2022,2023,2024,2025"
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
CCVY,VRS AND YRN COLLEGE OF ENGG. AND TECHNOLOGY,2025,1,,"2024,2025"
CECC,CHIRALA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
CENUPU,CENTURION UNIVERSITY OF TECHNOLOGY & MANAGEMENT,2025,1,,"2022,2023,2024,2025"
CEVP,CHAITANYA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
CFSB,Dr. N T R COLLEGE OF FOOD SCIENCE AND TECHNOLOGY,2025,2,COLLEGE OF FOOD SCIENCE AND TECHNOLOGY,"2022,2023,2024,2025"
CFSP,COLLEGE OF FOOD SCIENCE AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
CHBR,CHEBROLU ENGINEERING COLLEGE,2022,1,,2022
CHDL,CHADALAWADA RAMANAMMA ENGG. COLLEGE,2025,1,,"2022,2023,2024,2025"
CHKN,CHAITANYA INST. OF SCI. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
CIET,CHALAPATHI INST OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
CIPS,CHEBROLU HANUMAIAH INST. OF PHARM SCIENCES,2025,1,,"2022,2023,2025"
CITY,CHALAPATHI INST OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
CLPT,CHALAPATHI INSTITUTE OF PHARMACEUTICAL SCI.,2025,1,,"2022,2023,2024,2025"
CRIT,CHIRANJEEVI REDDY INST OF ENGG AND TECHNOLOGY FOR WOMEN,2025,2,CHIRANJIVI REDDY INST OF ENGG AND TECHNOLOGY,"2022,2023,2024,2025"
CRRE,SIR C R R COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
CRRP,SIR C.R.REDDY COLLEGE OF PHARMACY,2024,1,,"2022,2023,2024"
CVRT,SIR C.V RAMAN INST OF TECHNOLOGY SCIENCES,2025,1,,"2022,2023,2024,2025"
CVST,SVVU COLLEGE OF DAIRY TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
DHAN,DHANEKULA INST OF ENGG TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
DIET,DADI INSTT. OF ENGINEERING AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
DJRC,SRI CHAITANYA -DJR COLL OF ENGG AND TECH,2024,1,,"2022,2023,2024"
DLBC,DR L BULLAYYA COLL EGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
DNRE,DNR COLLEGE OF ENGG AND TECH,2025,1,,"2022,2023,2024,2025"
DRAVSF,DRAVIDIAN UNIVERSITY COLLEGE OF ENGG & TECH -SELF FINANACE,2025,1,,2025
DSIT,DAMISETTY BALA SURESH INST OF TECHNOLOGY,2025,2,D.B.S.INST OF TECHNOLOGY,"2022,2023,2024,2025"
ELRU,ELURU COLLEGE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
ESWR,ESWAR COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
GATE,GATES INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
GDLV,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
GECG,GUNTUR ENGINEERING COLLEGE,2023,1,,"2022,2023"
GGIB,GOKUL GROUP OF INSTITUTIONS,2025,1,,"2022,2023,2024,2025"
GGURPU,GODAVARI GLOBAL UNIVERSITY,2025,1,,"2024,2025"
GIER,GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY,2023,1,,"2022,2023"
GIET,GIET ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
GIPR,GIET SCHOOL OF PHARMACY,2022,1,,2022
GITS,GONNA INST OF INFO TECHNOLOGY SCIENCES,2025,1,,"2022,2023,2024,2025"
GKCS,GOKULA KRISHNA COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
GKPS,GOKULA KRISHNA COLLEGE OF PHARMACY,2023,1,,2023
GMRI,G M R INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
GPRE,G PULLA REDDY ENGINEERING. COLLEGE,2025,2,G P R ENGINEERING. COLLEGE,"2022,2023,2024,2025"
GTMW,GOUTHAMI INST OF TECHNOLOGY MGMT FOR WOMEN,2025,1,,"2022,2023,2024,2025"
GTNN,GEETHANJALI INST OF SCIENCE AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
GVIC,GOLDEN VALLEY INTEGRATED CAMPUS,2025,1,,"2022,2023,2024,2025"
GVPE,GAYATHRI VIDYA PARISHAD COLL. OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
GVPT,G V P COLLEGE FOR DEGREE AND PG COURSES,2025,1,,"2022,2023,2024,2025"
GVPW,GAYATHRI VIDYA PARISHAD COLL OF ENGG FOR WOMEN,2025,1,,"2022,2023,2024,2025"
GVRS,G V R AND S COLLEGE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
HICP,HINDU COLLEGE OF PHARMACY,2025,1,,"2022,2023,2025"
HIND,HINDU COLLEGE OF ENGINEERING AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
HITE,HELAPURI INST OF TECH AND SCIENCE,2025,1,,"2022,2023,2024,2025"
IDEL,IDEAL INSTITUTE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
IITM,INDIRA INST OF TECHNOLOGY SCI,2025,1,,"2022,2023,2024,2025"
ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,2025,1,,"2022,2023,2024,2025"
ISTSOC,INTERNATIONAL SCHOOL OF TECH AND SCI -OFF CAMPUS,2025,1,,"2024,2025"
JAGN,JAGANS COLLEGE OF PHARMACY,2022,1,,2022
JNKFSF,SCHOOL OF FOOD TECHNOLOGY JNTUK KAKINADA-SELF FINANCE,2025,1,,"2022,2023,2024,2025"
JNKPSF,SCHOOL OF PHARMACEUTICAL SCI. AND TECH.-SELF FINANCE,2024,1,,"2023,2024"
JNTA,JNTUA COLLEGE OF ENGG. ANANTAPURAMU,2025,1,,"2022,2023,2024,2025"
JNTASF,JNTUA COLLEGE OF ENGG. ANANTAPURAMU - SELF FINANACE,2025,1,,2025
JNTASS,JNTUA COLLEGE OF ENGG. ANANTAPURAMU - SELF SUPPORTING,2025,1,,2025
JNTC,JNTUA COLLEGE OF ENGINEERING. KALIKIRI,2025,1,,"2022,2023,2024,2025"
JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,2025,1,,"2022,2023,2024,2025"
JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA- SELF FINANCE,2025,2,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,"2022,2023,2024,2025"
JNTKSS,JNTUK COLLEGE OF ENGG. KAKINADA- SELF SUPPORTING,2025,2,JNTUK COLLEGE OF ENGG. KAKINADA-SELF SUPPORTING,"2023,2024,2025"
JNTN,JNTUK COLLEGE OF ENGINEERING NARSARAOPETA,2025,1,,"2022,2023,2024,2025"
JNTP,JNTUA COLLEGE OF ENGG PULIVENDULA,2025,1,,"2022,2023,2024,2025"
JNTSKSF,JNTUA- SRI KALAHASTEESWARA INSTITUTE OF TECHNOLOGY-SELF FINA,2025,1,,2025
JNTV,JNTUGV COLLEGE OF ENGINEERING VIZIANAGARAM,2025,2,JNTUK COLLEGE OF ENGINEERING VIZIANAGARAM,"2022,2023,2024,2025"
JNTVSF,JNTUGV COLLEGE OF ENGINEERING VIZIANAGARAM - SELF FINANACE,2025,1,,2025
JNYP,ST.JOHNS COLLEGE OF PHARM SCI,2025,1,,"2022,2024,2025"
JONY,ST. JOHNS COLLEGE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
JPSN,JAGAN'S INSTITUTE OF PHARMACEUTICAL SCIENCES,2022,1,,2022
KCIT,KRISHNA CHAITANYA INST OF TECHNOLOGY AND SCIENCES,2025,1,,"2022,2023,2024,2025"
KCPT,KORINGA COLLEGE OF PHARMACY,2022,1,,2022
KECW,KRISHNAVENI ENGG COLLEGE FOR WOMEN,2023,1,,"2022,2023"
KHIT,KALLAM HARANADH REDDY INST OF TECH,2025,1,,"2022,2023,2024,2025"
KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,2025,1,,"2022,2023,2024,2025"
KISR,KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES,2025,1,,"2022,2023,2024,2025"
KITG,KITS AKSHAR INSTITUTE OF TECHNOLOGY,2025,1,,"2024,2025"
KITS,KKR AND KSR INST OF TECHNOLOGY AND SCI,2025,1,,"2022,2023,2024,2025"
KLMW,KANDULA LAKSHUMMA MEMORIAL COLLEGE OF ENGG FOR WOMEN,2025,2,K.LAKSHUMMA MEMORIAL COLLEGE OF ENGG FOR WOMEN,"2022,2023,2024,2025"
KMMT,KMM INST OF TECHNOLOGY AND SCIENCE,2025,1,,"2022,2023,2024,2025"
KORM,KANDULA OBUL REDDY MEMORIAL COLL. OF ENGG.,2025,1,,"2022,2023,2024,2025"
KRUESF,KRISHNA UNIVERSITY COLLEGE OF ENGG AND TECHNOLOGY-SELF FINAN,2025,2,KRISHNA UNIVERSITY COLLEGE OF ENGG AND TECHNOLOGY-SLEF FINAN,"2022,2023,2024,2025"
KSRM,K S R M COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
KTPT,KRISHNA TEJA PHARMACY COLLEGE,2023,1,,2023
KTSP,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE,2025,1,,"2022,2023,2024,2025"
KUCPSF,KRU COLLEGE OF PHARMACEUTICAL SCIS& RESEARCH-SELF FINANCE,2022,1,,2022
KUPM,KUPPAM ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
KVSP,DR.K V SUBBA REDDY INST OF PHARMACY,2024,1,,"2023,2024"
KVSR,DR.K.V.SUBBA REDDY INST. OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
LBCE,LAKIREDDY BALIREDDY COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
LENO,LENORA COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
LIET,LENDI INST OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
LIMT,LINGAYAS INST OF MGMT AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
LOYL,LOYOLA INSTITUTE OF TECHNOLOGY AND MGMT,2025,1,,"2022,2023,2024,2025"
MAMN,M.A.M COLLEGE OF PHARMACY,2025,1,,"2022,2024,2025"
MAMW,M A M WOMEN'S ENGINEERING COLLEGE,2025,1,,"2024,2025"
MBUTPU,MOHAN BABU UNIVERSITY,2025,1,,"2024,2025"
MBUTPU1,MOHAN BABU UNIVERSITY,2023,1,,"2022,2023"
MBUTPU2,MOHAN BABU UNIVERSITY,2023,1,,"2022,2023"
MCPM,MAHATHI COLLEGE OF PHARMACY,2022,1,,2022
MHRJ,MAHARAJAHS COLLEGE PHARMACY,2024,1,,"2022,2023,2024"
MICT,DVR AND DR.HS MIC COLLEGE OF TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
MIET,MANDAVA INSTITUTE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
MITS,MADANAPALLY INSTITUTE OF TECHNOLOGY AND SCI,2024,1,,"2022,2023,2024"
MJRT,MJR COLLEGE OF ENGG AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
MLEW,MALINENI LAKSHMAIAH WOMENS ENGG. COLLEGE,2025,1,,"2022,2023,2024,2025"
MPLG,SRI MITTAPALLI COLLEGE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
MPLW,SRI MITTAPALLI INST OF TECHNOLOGY FOR WOMEN,2023,1,,"2022,2023"
MRCL,MIRACLE EDNL SOC GROUP OF INSTNS,2025,1,,"2022,2023,2024,2025"
MSEW,MALINENI SUSEELAMMA WOMENS ENGG COLLEGE,2025,1,,"2022,2023,2024,2025"
MTIE,MOTHER THERESA INST OF ENGG AND TECH,2025,1,,"2022,2023,2024,2025"
MVRG,M V G R COLLEGE OF ENGINEERNG,2025,1,,"2022,2023,2024,2025"
MVRS,M.V.R.COLL OF ENGINEERING AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
NARN,NARAYANA ENGINEERING COLLEGE,2025,1,,"2022,2023,2024,2025"
NBKR,NBKR INSTITUTE OF SCI. AND TECHNOLOGY,2025,1,,"2022,2023,2024,2025"
NEWS,NEWTONS INST OF SCI AND TECH,2025,1,,"2022,2023,2024,2025"
NEWT,NEWTON INSTITUTE OF ENGINEERING,2025,1,,"2022,2023,2024,2025"
NICP,NIRMALA COLLEGE OF PHARMACY,2024,1,,2024
NIST,NARAYANADRI INST OF SCI TECHNOLOGY,2023,1,,"2022,2023"
